,0
75,"https://openalex.org/W2932168008,https://openalex.org/W2932168008"
76,https://openalex.org/W2969288979
77,https://openalex.org/W2902326815
78,https://openalex.org/W2911155696
79,"https://openalex.org/W2957632528,https://openalex.org/W2957632528"
80,https://openalex.org/W2967039271
81,https://openalex.org/W3003912777
82,"https://openalex.org/W3103067313,https://openalex.org/W2907758696"
83,"https://openalex.org/W3006792783,https://openalex.org/W2911714071,https://openalex.org/W2916772745,https://openalex.org/W2920891929,https://openalex.org/W2980061684"
84,"https://openalex.org/W4200352309,https://openalex.org/W2902269458,https://openalex.org/W2908408131,https://openalex.org/W2916772745,https://openalex.org/W3006792783,https://openalex.org/W3017962821"
85,https://openalex.org/W3042769712
86,https://openalex.org/W2948264248
87,https://openalex.org/W2968429835
88,"https://openalex.org/W3019005275,https://openalex.org/W2946287558,https://openalex.org/W2989857225"
89,"https://openalex.org/W3154650405,https://openalex.org/W2909984890"
90,https://openalex.org/W2922081682
91,"https://openalex.org/W3100483583,https://openalex.org/W3100483583"
92,https://openalex.org/W3183859964
93,https://openalex.org/W3048728830
94,https://openalex.org/W3161104803
95,"https://openalex.org/W3181357462,https://openalex.org/W3006177262"
96,https://openalex.org/W2910234850
97,https://openalex.org/W2948740339
98,"https://openalex.org/W3008241583,https://openalex.org/W2932168008"
99,"https://openalex.org/W3018429123,https://openalex.org/W2963255299"
100,https://openalex.org/W2907525308
101,https://openalex.org/W2911989226
102,https://openalex.org/W2939407418
103,"https://openalex.org/W3005754778,https://openalex.org/W2915788039,https://openalex.org/W2945381569"
104,"https://openalex.org/W3140862400,https://openalex.org/W2986457312,https://openalex.org/W3006711793,https://openalex.org/W3088538572,https://openalex.org/W3099909056"
105,https://openalex.org/W2954106672
106,https://openalex.org/W2983718385
107,https://openalex.org/W2920908316
108,"https://openalex.org/W2954361333,https://openalex.org/W2902237058"
109,https://openalex.org/W2994912796
110,https://openalex.org/W2943815733
111,https://openalex.org/W3011824760
112,"https://openalex.org/W3159834390,https://openalex.org/W2981170861"
113,https://openalex.org/W2931777238
114,https://openalex.org/W2942237216
115,https://openalex.org/W2955046383
116,https://openalex.org/W2905314874
117,"https://openalex.org/W3095077405,https://openalex.org/W2902326815,https://openalex.org/W2979313052"
118,https://openalex.org/W2905216752
119,https://openalex.org/W2915788039
